model_name	method	data	parameters	RI	ARI	MI	NMI	AMI	homogeneity	completeness	v_measure	DBI	CHI	Silhouette	n_clusters	has_outliers
model_0	KMeans	preprocessed/X4_num.csv_preprocessed/X4_cat.csv	{'n_clusters': 2, 'random_state': 42}	0.3066064370412196	0.0016408860029516	0.0169803794970847	0.0178103026468562	0.0091161279105637	0.0106582998386355	0.0541390373320921	0.0178103026468562	1.1328396016216866	54.86093609747582	0.3537608351137707	2	False
model_1	KMeans	preprocessed/X4_num.csv_preprocessed/X4_cat.csv	{'n_clusters': 3, 'random_state': 42}	0.5452976974716105	0.0178523205579591	0.0401829862624444	0.03233068140878	0.0191846910445855	0.0252221875294622	0.0450184553850532	0.0323306814087801	1.8080147533025102	49.35003745319864	0.1597454650985461	3	False
model_2	KMeans	preprocessed/X4_num.csv_preprocessed/X4_cat.csv	{'n_clusters': 4, 'random_state': 42}	0.5974967061923584	0.03810023736401	0.0957618445772873	0.0696772069755389	0.0524621344722902	0.0601081061103951	0.0828699522287327	0.0696772069755389	1.8684889492882064	42.23602948813388	0.1546245023245683	4	False
model_3	KMeans	preprocessed/X4_num.csv_preprocessed/X4_cat.csv	{'n_clusters': 5, 'random_state': 42}	0.6696467783424305	0.0403176938096779	0.12368779376282	0.0801151562594109	0.0599551514897194	0.077636756736196	0.0827570097064327	0.0801151562594109	1.7047036439745553	40.11831946294577	0.14527252070282476	5	False
model_4	KMeans	preprocessed/X4_num.csv_preprocessed/X4_cat.csv	{'n_clusters': 6, 'random_state': 42}	0.67350523872263	0.0402563736131258	0.1350234671047557	0.0860762785880997	0.0607666798901964	0.0847519690535603	0.0874426316308326	0.0860762785880997	1.5043294846740274	43.47727775594251	0.15645770026868916	6	False
model_5	KMeans	preprocessed/X4_num.csv_preprocessed/X4_cat.csv	{'n_clusters': 7, 'random_state': 42}	0.6684861032687119	0.0352230179889295	0.1336231140895621	0.0850969216532693	0.0558517352146641	0.0838729909177399	0.0863571022007644	0.0850969216532693	1.2862337303598357	49.78092306187751	0.16269673576669674	7	False
model_6	KMeans	preprocessed/X4_num.csv_preprocessed/X4_cat.csv	{'n_clusters': 8, 'random_state': 42}	0.7014241796850492	0.0426422073622131	0.1505262502723998	0.089492307773984	0.0575986166250578	0.0944828064216222	0.0850025480277976	0.089492307773984	1.384488724498966	48.15160827037768	0.149896477005003	8	False
model_7	KMeans	preprocessed/X4_num.csv_preprocessed/X4_cat.csv	{'n_clusters': 9, 'random_state': 42}	0.720214568040655	0.0553258581907299	0.2093324456277027	0.1194356842430134	0.0868617669077564	0.1313944704143972	0.109472144919856	0.1194356842430134	1.4516204816922338	42.73263653054072	0.11897575474742347	9	False
model_8	KMeans	preprocessed/X4_num.csv_preprocessed/X4_cat.csv	{'n_clusters': 10, 'random_state': 42}	0.7116192985758203	0.045985899452928	0.1864137316832328	0.1054654906672622	0.0673615582326949	0.1170087774928688	0.095995254499296	0.1054654906672622	1.3919368131806924	40.515205459534826	0.14529208729336052	10	False
model_9	HDBSCAN	preprocessed/X4_num.csv_preprocessed/X4_cat.csv	{'min_cluster_size': 10, 'cluster_selection_epsilon': 0.5, 'min_samples': 1, 'metric': 'cityblock'}	0.4950122341426689	0.0055482038594304	0.0455237115770173	0.038242067525789	0.024251939923748	0.0285744713678937	0.0577962699508825	0.038242067525789	1.2232458154384984	20.431122510867493	0.2317253222620277	2	True
model_10	HDBSCAN	preprocessed/X4_num.csv_preprocessed/X4_cat.csv	{'min_cluster_size': 10, 'cluster_selection_epsilon': 0.5, 'min_samples': 1, 'metric': 'euclidean'}	0.359997490432273	0.0046739519625766	0.0316416263439409	0.0302120187966937	0.0136876270550241	0.0198609189514105	0.0630967266551904	0.0302120187966937	0.7143491357753166	53.26995161057327	0.46585354826719766	2	True
model_11	HDBSCAN	preprocessed/X4_num.csv_preprocessed/X4_cat.csv	{'min_cluster_size': 10, 'cluster_selection_epsilon': 0.5, 'min_samples': 1, 'metric': 'l1'}	0.4950122341426689	0.0055482038594304	0.0455237115770173	0.038242067525789	0.024251939923748	0.0285744713678937	0.0577962699508825	0.038242067525789	1.2232458154384984	20.431122510867493	0.2317253222620277	2	True
model_12	HDBSCAN	preprocessed/X4_num.csv_preprocessed/X4_cat.csv	{'min_cluster_size': 10, 'cluster_selection_epsilon': 0.5, 'min_samples': 1, 'metric': 'l2'}	0.359997490432273	0.0046739519625766	0.0316416263439409	0.0302120187966937	0.0136876270550241	0.0198609189514105	0.0630967266551904	0.0302120187966937	0.7143491357753166	53.26995161057327	0.46585354826719766	2	True
model_13	HDBSCAN	preprocessed/X4_num.csv_preprocessed/X4_cat.csv	{'min_cluster_size': 10, 'cluster_selection_epsilon': 0.5, 'min_samples': 1, 'metric': 'manhattan'}	0.4950122341426689	0.0055482038594304	0.0455237115770173	0.038242067525789	0.024251939923748	0.0285744713678937	0.0577962699508825	0.038242067525789	1.2232458154384984	20.431122510867493	0.2317253222620277	2	True
